date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:55	106/106	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/robots.txt		(from )
17:03:55	4072/4072	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2015:04:52%20GMT	https://the-internet.herokuapp.com/	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/index.html	(from )
17:03:55	132435/132435	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/js/vendor/298279967.js	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/js/vendor/298279967.js	(from https://the-internet.herokuapp.com/)
17:03:55	28747/28747	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/css/font-awesome.css	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/css/font-awesome.css	(from https://the-internet.herokuapp.com/)
17:03:55	353394/353394	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/css/app.css	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/css/app.css	(from https://the-internet.herokuapp.com/)
17:03:56	95957/95957	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/js/vendor/jquery-1.11.3.min.js	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/js/vendor/jquery-1.11.3.min.js	(from https://the-internet.herokuapp.com/)
17:03:56	470596/470596	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/js/vendor/jquery-ui-1.11.4/jquery-ui.js	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/js/vendor/jquery-ui-1.11.4/jquery-ui.js	(from https://the-internet.herokuapp.com/)
17:03:56	12715/12715	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/js/foundation/foundation.js	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/js/foundation/foundation.js	(from https://the-internet.herokuapp.com/)
17:03:56	1392/1392	---M--	200	added ('OK')	application/javascript	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/js/foundation/foundation.alerts.js	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/js/foundation/foundation.alerts.js	(from https://the-internet.herokuapp.com/)
17:03:57	7660/7660	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Feb%202021%2017:29:38%20GMT	https://the-internet.herokuapp.com/img/forkme_right_green_007200.png	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/img/forkme_right_green_007200.png	(from https://the-internet.herokuapp.com/)
17:03:57	1850/1850	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2015:04:55%20GMT	https://the-internet.herokuapp.com/abtest	D:/Code/TestSite/TestSite/the-internet.herokuapp.com/abtest.html	(from https://the-internet.herokuapp.com/)
